speaker,season,words
Andy,3,4909
Andy,4,3154
Andy,5,5738
Andy,6,6811
Andy,7,6711
Andy,8,14519
Andy,9,9180
Angela,1,253
Angela,2,1266
Angela,3,2563
Angela,4,1868
Angela,5,2311
Angela,6,1084
Angela,7,1618
Angela,8,1431
Angela,9,3606
Charles,5,1908
Clark,6,145
Clark,9,2487
Creed,2,703
Creed,3,1018
Creed,4,809
Creed,5,446
Creed,6,385
Creed,7,811
Creed,8,298
Creed,9,600
Darryl,1,111
Darryl,2,631
Darryl,3,977
Darryl,4,449
Darryl,5,882
Darryl,6,1027
Darryl,7,2284
Darryl,8,3180
Darryl,9,2814
David,2,119
David,3,706
David,4,54
David,5,1836
David,6,1410
David,7,97
David,8,314
David,9,884
Deangelo,7,2458
Dwight,1,3703
Dwight,2,12094
Dwight,3,10635
Dwight,4,6425
Dwight,5,12801
Dwight,6,10224
Dwight,7,9493
Dwight,8,12691
Dwight,9,14586
Erin,5,312
Erin,6,2882
Erin,7,2918
Erin,8,4130
Erin,9,4216
Gabe,6,1432
Gabe,7,2968
Gabe,8,1750
Gabe,9,238
Holly,4,634
Holly,5,2620
Holly,7,2225
Jan,1,356
Jan,2,2711
Jan,3,3186
Jan,4,2307
Jan,5,836
Jan,7,305
Jan,9,314
Jim,1,3016
Jim,2,8842
Jim,3,6629
Jim,4,6545
Jim,5,8746
Jim,6,9074
Jim,7,7061
Jim,8,9105
Jim,9,8935
Jo,6,2070
Jo,7,1025
Karen,3,2594
Karen,4,268
Karen,5,171
Karen,7,12
Kelly,1,26
Kelly,2,1436
Kelly,3,2192
Kelly,4,1002
Kelly,5,1606
Kelly,6,1372
Kelly,7,1839
Kelly,8,1414
Kelly,9,169
Kevin,1,202
Kevin,2,1165
Kevin,3,1849
Kevin,4,1307
Kevin,5,1745
Kevin,6,1918
Kevin,7,2140
Kevin,8,2476
Kevin,9,2619
Meredith,1,149
Meredith,2,331
Meredith,3,485
Meredith,4,494
Meredith,5,1045
Meredith,6,736
Meredith,7,645
Meredith,8,729
Meredith,9,1066
Michael,1,12637
Michael,2,35894
Michael,3,30121
Michael,4,25770
Michael,5,30754
Michael,6,27217
Michael,7,20058
Michael,9,23
Nellie,7,211
Nellie,8,3244
Nellie,9,3735
Oscar,1,427
Oscar,2,1112
Oscar,3,743
Oscar,4,970
Oscar,5,2020
Oscar,6,1692
Oscar,7,1623
Oscar,8,2273
Oscar,9,3233
Pam,1,1484
Pam,2,6474
Pam,3,6290
Pam,4,4759
Pam,5,6722
Pam,6,6682
Pam,7,6527
Pam,8,4246
Pam,9,8249
Pete,5,141
Pete,6,43
Pete,9,1644
Phyllis,1,75
Phyllis,2,856
Phyllis,3,911
Phyllis,4,956
Phyllis,5,1645
Phyllis,6,1196
Phyllis,7,1339
Phyllis,8,931
Phyllis,9,1160
Robert,7,343
Robert,8,5770
Robert,9,185
Roy,1,245
Roy,2,892
Roy,3,958
Roy,5,44
Roy,9,159
Ryan,1,331
Ryan,2,1662
Ryan,3,2053
Ryan,4,2682
Ryan,5,1885
Ryan,6,1202
Ryan,7,2098
Ryan,8,2337
Ryan,9,203
Stanley,1,161
Stanley,2,834
Stanley,3,900
Stanley,4,880
Stanley,5,998
Stanley,6,554
Stanley,7,641
Stanley,8,1099
Stanley,9,918
Toby,1,94
Toby,2,1395
Toby,3,1167
Toby,4,1792
Toby,5,872
Toby,6,1003
Toby,7,1027
Toby,8,1206
Toby,9,1314
